row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
024efc08aa49999,cat_2,cat_1,cat_1,cat_0,cat_2,cat_2,cat_3,cat_3,cat_2,1
024ffab2d600950,cat_2,cat_2,cat_1,cat_1,cat_2,cat_1,cat_3,cat_4,cat_2,0
0250dc333fec374,cat_0,cat_1,cat_1,cat_5,cat_0,cat_5,cat_3,cat_0,,1
0251db3f490dfc6,cat_2,cat_1,cat_1,,cat_1,cat_0,cat_0,cat_1,,1
025907c28c01988,cat_2,cat_1,cat_1,,cat_1,cat_6,cat_2,cat_4,cat_0,0
025a5840fc9f2a4,cat_2,cat_0,cat_0,cat_4,cat_0,cat_0,cat_3,,,1
025ddd4c8ec5ad6,cat_2,cat_1,cat_1,cat_4,cat_1,cat_7,cat_2,,cat_2,1
025f47e2b28a6a7,cat_4,cat_1,cat_1,,cat_2,cat_3,cat_3,,cat_0,0
0261d5026a395f6,cat_1,,cat_0,cat_3,cat_0,cat_4,cat_4,cat_1,,0
0272832a557c2f4,cat_0,cat_1,cat_1,cat_5,cat_2,cat_2,cat_3,,cat_0,0
0274579157f9513,cat_2,cat_1,cat_1,,cat_0,cat_0,cat_4,cat_4,cat_1,0
0277f05c87aa54c,cat_2,,cat_1,,cat_0,cat_7,cat_0,cat_1,cat_1,1
027a3faf7e518f4,cat_4,cat_1,cat_0,cat_2,cat_0,cat_2,cat_3,cat_4,cat_2,1
02893c18739fdd5,cat_4,,cat_1,,cat_2,cat_2,cat_3,,cat_0,0
028b2eb69373409,cat_1,,cat_1,,cat_0,cat_1,cat_0,cat_1,cat_0,0
028caa3a2dd16a1,cat_4,cat_1,cat_1,cat_5,cat_2,cat_2,cat_4,cat_0,cat_1,1
028d5d6d5960edf,cat_2,,cat_1,cat_3,cat_0,cat_0,cat_3,cat_1,cat_1,0
028e778dca655d3,cat_1,,cat_1,,cat_0,cat_5,cat_4,cat_5,cat_2,0
02949b55639e15d,cat_2,,cat_1,cat_0,cat_2,cat_0,cat_3,cat_1,cat_2,1
0295af0a8fd65e8,cat_1,cat_1,cat_1,,cat_1,cat_0,cat_4,cat_5,cat_1,0
02967991240cfa9,cat_1,,cat_1,,cat_2,cat_2,cat_3,cat_3,cat_0,1
02a3a2921d710da,cat_2,cat_1,cat_0,cat_1,cat_0,cat_7,cat_0,cat_1,cat_1,0
02a4deac5860b26,cat_2,cat_1,cat_1,cat_4,cat_0,cat_4,cat_3,cat_4,cat_1,1
02a92b861ad7e23,cat_2,cat_3,cat_1,cat_2,cat_2,cat_0,cat_3,cat_0,,1
02a94fab6f7d374,cat_2,,cat_1,cat_2,cat_2,cat_0,cat_2,cat_3,cat_1,1
02ac310f9c5f944,cat_2,cat_0,cat_1,,cat_1,cat_5,cat_3,,cat_1,1
02bcc41682e2464,cat_0,cat_3,cat_1,cat_2,cat_1,cat_4,cat_3,cat_0,cat_1,1
02c3cc1fa5847d4,cat_2,cat_1,cat_1,,cat_1,cat_0,cat_3,cat_4,cat_1,1
02c53cf2e89f5d0,cat_2,,cat_1,cat_3,cat_2,cat_4,cat_3,cat_4,,0
02c832b8a222026,cat_3,cat_2,cat_1,cat_0,cat_2,cat_1,cat_3,cat_5,cat_1,1
02c83d8143fb08b,cat_0,,cat_1,cat_1,cat_0,cat_4,cat_0,,cat_0,0
02cb43715baadf9,cat_2,,cat_1,,cat_0,cat_0,cat_0,cat_1,cat_0,0
02e334280c39bb3,cat_3,,cat_1,cat_4,cat_1,cat_1,cat_4,cat_0,cat_2,1
02e3381769e859e,cat_5,,cat_0,,cat_1,cat_2,cat_3,cat_0,cat_0,0
02e46b9adbfcf8f,cat_2,cat_1,cat_1,cat_2,cat_2,cat_2,cat_3,cat_3,cat_0,1
02ed25cdf78ff6a,cat_1,,cat_1,cat_2,cat_0,cat_7,cat_4,cat_3,cat_1,1
02f03ef404c4f0f,cat_1,cat_1,cat_1,,cat_0,cat_4,cat_3,cat_0,cat_0,0
02f75db1011bb86,cat_2,,cat_1,,cat_2,cat_3,cat_3,cat_5,cat_1,1
02fa36f51343dcf,cat_4,cat_0,cat_0,,cat_0,cat_3,cat_3,cat_4,cat_1,1
02fe1a4a1f8fae4,cat_4,,cat_1,,cat_1,cat_6,cat_3,cat_3,,1
030325156dbf2a7,,cat_3,cat_0,cat_2,cat_0,cat_0,cat_4,cat_5,cat_1,1
030fc99ec01abf6,cat_2,cat_3,cat_1,cat_2,cat_2,cat_2,cat_3,cat_3,cat_1,1
032ac6b81ed22c2,cat_3,cat_2,cat_0,,cat_1,cat_7,cat_3,cat_1,cat_2,1
03314d5f2f34006,cat_3,cat_2,cat_1,,cat_0,cat_6,cat_4,cat_0,cat_1,1
033948abafc35b1,cat_2,cat_3,cat_1,cat_0,cat_0,cat_3,cat_0,cat_4,cat_1,1
03460333d091a26,,cat_1,cat_1,,cat_0,cat_2,cat_4,cat_5,cat_1,0
034777dd6ae1ec0,cat_1,,cat_1,cat_3,cat_0,cat_0,cat_4,cat_4,cat_1,0
03495c058907e72,cat_1,cat_0,cat_0,cat_5,cat_0,cat_1,cat_3,cat_4,cat_1,0
035080a8a294c16,cat_3,,cat_1,cat_5,cat_0,cat_6,cat_2,cat_4,cat_0,0
03547508ba4825f,cat_2,,cat_1,cat_1,cat_1,cat_2,cat_3,cat_5,,0
0355a0b65c6f5fc,cat_2,,cat_1,cat_0,cat_2,cat_6,cat_3,cat_4,cat_1,1
0358ab3ad5fe328,cat_2,cat_3,cat_1,cat_3,cat_2,cat_1,cat_3,,cat_2,0
035ee3699fa9f64,cat_2,,cat_1,cat_1,cat_2,cat_6,cat_4,cat_3,cat_0,0
035fd63e837aa9c,cat_2,cat_1,cat_0,cat_4,cat_2,cat_6,cat_3,,cat_0,1
0360a759e3288b4,cat_2,cat_1,cat_1,cat_5,cat_2,cat_5,cat_4,cat_3,cat_0,1
03651e4f27433e2,,,cat_0,,cat_0,cat_0,cat_0,cat_4,cat_1,0
036683cae497126,cat_4,cat_1,cat_0,,cat_2,cat_2,cat_3,cat_3,cat_1,1
0367e851b4f0616,cat_2,,cat_0,,cat_2,cat_0,cat_4,cat_4,cat_1,1
0368e771fb5773c,cat_1,cat_3,cat_1,,cat_0,cat_5,cat_3,cat_4,cat_2,0
037181e9f118187,cat_2,,cat_1,,cat_2,cat_2,cat_3,cat_5,cat_1,0
038d92897c18643,cat_3,,cat_0,,cat_0,cat_1,cat_3,,cat_1,1
038fcd4b3c5a662,cat_1,,cat_1,cat_4,cat_0,cat_6,cat_0,,cat_2,1
0394fb5abd2830f,cat_3,cat_1,cat_0,cat_0,cat_2,cat_1,cat_4,cat_1,cat_1,1
0398e854c1ebe57,cat_3,cat_3,cat_1,,cat_2,cat_4,cat_3,cat_1,cat_1,0
039c2da530ef2c8,cat_3,cat_3,cat_1,cat_0,cat_2,cat_3,cat_2,cat_3,,1
039cfe4c90abff4,cat_2,,cat_1,cat_1,cat_2,cat_1,cat_3,cat_5,cat_0,0
039dbcf4eb06d9c,cat_2,,cat_1,cat_0,cat_2,cat_1,cat_2,cat_3,,1
03a11a8f9ec1842,cat_1,,cat_1,,cat_0,cat_2,cat_0,cat_1,cat_0,0
03a5079a8c52d44,cat_2,,cat_1,,cat_2,cat_7,cat_3,cat_1,,0
03a739f9e1dbe40,cat_2,cat_2,cat_1,cat_4,cat_2,cat_0,cat_2,cat_2,cat_2,1
03bdcfdc036f841,cat_4,cat_2,cat_1,cat_4,cat_1,cat_3,cat_3,cat_2,cat_1,1
03c22cf172b50ec,cat_2,cat_2,cat_0,cat_4,cat_0,cat_6,cat_3,cat_5,,1
03c4a389735684e,cat_1,,cat_1,,cat_0,cat_5,cat_3,cat_1,cat_0,0
03cb11e71496262,cat_4,cat_1,cat_1,,cat_1,cat_3,cat_3,cat_3,cat_0,0
03cc109bfdf741b,cat_2,cat_3,cat_1,cat_0,cat_1,cat_7,cat_2,cat_3,cat_1,1
03cf9904d472d85,cat_2,cat_2,cat_1,cat_3,cat_1,cat_0,cat_3,cat_2,cat_2,0
03dc72390dbf454,,cat_1,cat_1,,cat_2,cat_0,cat_3,cat_1,cat_1,1
03dd0521f7d1448,cat_2,cat_1,cat_1,,cat_0,cat_7,cat_0,cat_3,,1
03e226cd6d3b5e4,cat_4,cat_1,cat_1,cat_2,cat_0,cat_6,cat_2,cat_1,cat_0,1
03e393b07fed426,cat_1,,cat_1,cat_1,cat_1,cat_3,cat_4,cat_2,cat_2,0
03ea65a76581f5e,cat_2,,cat_1,cat_3,cat_2,cat_0,cat_2,cat_0,cat_1,0
03ec4f51a9f62de,cat_0,,cat_1,,cat_2,cat_6,cat_2,cat_1,cat_1,1
03ee66613c3b32e,cat_2,cat_3,cat_0,,cat_0,cat_1,cat_2,cat_5,cat_1,0
03f16d07b3dcd52,cat_1,cat_2,cat_0,cat_0,cat_0,cat_2,cat_3,cat_5,cat_1,0
03f2c6508c11de3,cat_2,cat_0,cat_0,cat_5,cat_0,cat_3,cat_3,cat_2,cat_1,0
03f84678bf4b6e3,cat_2,,cat_1,,cat_0,cat_5,cat_2,cat_4,cat_1,1
03fd6a73b1c9a62,cat_4,,cat_1,cat_0,cat_1,cat_1,cat_3,cat_0,cat_1,1
041442653cbb782,cat_2,cat_0,cat_1,cat_5,cat_2,cat_7,cat_3,cat_5,cat_0,1
0419898e90c6dd8,cat_3,cat_3,cat_1,cat_5,cat_2,cat_4,cat_3,cat_0,cat_2,0
0423d1c036b50a3,cat_2,cat_1,cat_1,,cat_0,cat_0,cat_3,cat_0,cat_2,0
042c972fac0a3a0,cat_2,,cat_1,cat_0,cat_1,cat_2,cat_3,cat_3,,1
042d737cd8e9945,cat_2,,cat_1,,cat_2,cat_3,cat_3,cat_1,,1
0443219a9d85922,cat_4,cat_2,cat_1,,cat_0,cat_3,cat_2,cat_3,cat_1,1
04448f0c718e94e,cat_2,,cat_0,cat_0,cat_2,cat_1,cat_3,,cat_1,1
0448eb4dbbd25d6,cat_2,cat_3,cat_1,cat_5,cat_2,cat_1,cat_3,cat_1,cat_1,0
044b7886c8e631f,cat_2,,cat_0,,cat_2,cat_2,cat_0,cat_1,,0
044c9a350878394,cat_4,,cat_1,,cat_1,cat_3,cat_3,cat_3,cat_1,0
044ea06f85d0e7d,cat_2,cat_0,cat_1,cat_4,cat_0,cat_0,cat_3,cat_4,cat_1,1
0450130b9f88faf,cat_4,cat_1,cat_1,,cat_2,cat_2,cat_3,cat_3,cat_1,0
04503de9dc2ba21,cat_0,,cat_1,,cat_0,cat_2,cat_2,cat_0,cat_1,0
0456882b9d60316,cat_4,,cat_0,cat_0,cat_2,cat_0,cat_4,cat_4,cat_1,1
045b86ffa57bd27,cat_2,cat_1,cat_1,cat_0,cat_1,cat_1,cat_3,cat_1,cat_1,1
045f32dce565a1f,cat_4,,cat_1,cat_0,cat_0,cat_6,cat_4,cat_1,,1
046cdf9fa8f22cb,,cat_3,cat_0,cat_3,cat_0,cat_3,cat_4,,cat_1,1
046f1d7d851ee3b,cat_2,,cat_1,,cat_2,cat_0,cat_2,cat_4,cat_0,0
047d0e8d3373185,cat_4,,cat_1,,cat_1,cat_6,cat_3,cat_4,cat_1,0
04936315041881a,cat_1,cat_3,cat_1,,cat_0,cat_0,cat_2,cat_1,cat_2,0
04997d9d0a92bad,cat_2,,cat_0,,cat_0,cat_0,cat_4,cat_3,,0
04a9189564158b6,cat_2,,cat_0,,cat_0,cat_2,cat_0,cat_3,cat_1,0
04acdb67c487727,cat_2,cat_1,cat_1,,cat_1,cat_0,cat_3,cat_1,cat_1,0
04aeb20c9de34bc,cat_1,cat_2,cat_1,,cat_1,cat_5,cat_3,,cat_1,0
04b39f0215eb791,cat_2,,cat_1,,cat_1,cat_7,cat_0,cat_4,cat_2,1
04bd9e30a6c8c95,cat_2,cat_1,cat_1,,cat_1,cat_3,cat_2,cat_0,cat_0,1
04c52f92e51342c,cat_1,cat_3,cat_1,,cat_1,cat_5,cat_3,,cat_1,0
04c6ce20da47ae3,cat_2,cat_0,cat_0,,cat_2,cat_2,cat_3,,cat_1,0
04c967adc7f3bae,cat_3,,cat_1,cat_0,cat_0,cat_1,cat_2,cat_5,cat_2,1
04d0e0c708b5674,cat_2,,cat_1,cat_0,cat_1,cat_4,cat_3,cat_5,cat_0,1
04d16a41f41b9fe,cat_2,,cat_1,cat_4,cat_0,cat_0,cat_3,,cat_0,1
04d231872443cd4,cat_2,cat_1,cat_1,cat_3,cat_0,cat_2,cat_3,cat_0,cat_1,0
04e538f3df3fb23,cat_2,,cat_1,,cat_2,cat_2,cat_3,cat_0,cat_1,1
04e699f757d52a8,cat_4,,cat_1,cat_1,cat_0,cat_1,cat_3,cat_2,cat_2,0
04efc6928d22983,cat_2,cat_0,cat_0,,cat_0,cat_7,cat_2,cat_0,cat_1,1
04fdca5625a2f0e,cat_2,cat_0,cat_1,,cat_2,cat_4,cat_4,cat_4,,0
051585473c575f8,cat_2,,cat_1,cat_0,cat_0,cat_5,cat_3,cat_2,cat_2,1
0515f7b5b44461d,cat_4,cat_1,cat_1,cat_1,cat_2,cat_6,cat_3,cat_0,cat_0,1
0519789afa72f6b,cat_1,,cat_0,,cat_0,cat_3,cat_3,cat_5,cat_1,1
051ae2a3af518b3,cat_2,cat_3,cat_0,cat_4,cat_0,cat_0,cat_4,cat_4,,1
051c2b6891c2be3,cat_2,cat_3,cat_0,cat_5,cat_0,cat_0,cat_3,cat_1,,0
051ce6ce2ca6bc2,cat_2,cat_2,cat_0,cat_0,cat_0,cat_0,cat_4,cat_5,cat_1,0
051d4fa8eb2216f,cat_1,cat_0,cat_0,,cat_0,cat_2,cat_4,cat_1,cat_1,1
051daee44ffdbfe,cat_0,cat_0,cat_0,,cat_0,cat_5,cat_2,cat_4,cat_1,0
052bd7fb889c6cc,cat_4,,cat_1,cat_5,cat_0,cat_2,cat_2,cat_0,cat_1,1
052ca3f2598ad69,cat_2,cat_3,cat_1,,cat_1,cat_4,cat_3,cat_1,cat_1,1
052db9d54b20f5e,cat_2,cat_3,cat_1,cat_0,cat_0,cat_2,cat_3,cat_3,,1
0542ea844271521,cat_2,,cat_1,cat_5,cat_0,cat_6,cat_0,cat_3,cat_2,1
054909d51157c30,cat_4,cat_3,cat_1,,cat_1,cat_3,cat_2,cat_0,cat_1,1
05521391487cbc4,cat_1,cat_2,cat_0,cat_0,cat_0,cat_6,cat_2,cat_1,cat_1,1
05562d550563439,cat_2,,cat_1,cat_3,cat_1,cat_2,cat_4,cat_2,cat_1,0
0556639282c43d9,cat_2,,cat_1,cat_5,cat_0,cat_4,cat_3,cat_1,cat_2,0
0557dcea71569b3,cat_1,,cat_1,cat_2,cat_0,cat_3,cat_3,cat_4,cat_1,1
0569709dbee6392,cat_1,,cat_1,cat_5,cat_0,cat_2,cat_0,cat_0,,0
056da3ff5477881,cat_2,cat_2,cat_1,cat_5,cat_2,cat_4,cat_2,cat_2,cat_1,0
056fbcaac15bab8,cat_2,cat_0,cat_1,cat_1,cat_2,cat_4,cat_4,cat_1,cat_1,0
057835e56e02179,cat_2,cat_1,cat_1,cat_0,cat_0,cat_0,cat_3,cat_5,,1
057b35041cd2681,cat_1,,cat_1,,cat_0,cat_5,cat_0,cat_3,cat_1,1
057ea9f983d0e01,cat_0,cat_3,cat_1,cat_3,cat_1,cat_4,cat_2,cat_1,cat_1,0
0582d8ee276c6ad,cat_2,,cat_0,,cat_0,cat_5,cat_4,cat_5,cat_1,0
058b15f5be6805d,cat_0,cat_1,cat_1,cat_5,cat_0,cat_1,cat_3,cat_0,cat_0,0
058c92992f14339,cat_2,cat_1,cat_1,,cat_0,cat_0,cat_2,cat_4,cat_0,0
058e2fa5f6e69ca,cat_1,,cat_0,cat_1,cat_0,cat_1,cat_3,cat_5,cat_0,0
059b2d2eb1328c5,cat_1,,cat_1,,cat_2,cat_5,cat_3,cat_0,cat_0,0
05a35a888f7ad2f,cat_0,,cat_1,cat_5,cat_2,cat_5,cat_3,cat_0,cat_1,1
05a55898a29e1ea,cat_2,,cat_0,cat_4,cat_0,cat_4,cat_0,cat_0,cat_1,1
05a809f3251bedc,cat_2,,cat_1,cat_3,cat_0,cat_4,cat_3,cat_1,cat_1,0
05bead2c444b9c5,cat_2,cat_2,cat_0,cat_0,cat_0,cat_2,cat_3,cat_4,cat_1,1
05c0ef5c238b5ad,cat_2,,cat_0,cat_0,cat_2,cat_2,cat_0,cat_3,,1
05cb4f8a6306cb1,cat_3,cat_2,cat_1,,cat_1,cat_6,cat_4,cat_5,cat_2,1
05d17c090db083a,cat_2,cat_3,cat_1,cat_3,cat_2,cat_1,cat_3,cat_0,cat_1,0
05d4ab9e8ec389f,cat_4,,cat_0,cat_5,cat_2,cat_3,cat_4,cat_1,cat_2,0
05dacb689703f10,cat_2,cat_1,cat_1,,cat_1,cat_2,cat_3,cat_0,cat_1,1
05e4d40ffc0d5c5,cat_2,,cat_1,cat_0,cat_2,cat_2,cat_3,cat_3,cat_0,0
05f3741e8884f3f,cat_1,,cat_1,cat_0,cat_0,cat_3,cat_2,cat_3,cat_1,1
05fe2836bd09978,cat_4,cat_2,cat_0,cat_3,cat_2,cat_0,cat_2,cat_0,cat_1,1
05feadc461ea140,cat_3,cat_0,cat_1,cat_4,cat_2,cat_3,cat_3,cat_1,cat_1,1
05ff54a0ed41f37,cat_2,,cat_1,cat_3,cat_2,cat_7,cat_3,,cat_2,1
05ff8f0ce651a9b,cat_1,,cat_1,cat_5,cat_0,cat_4,cat_4,cat_1,cat_0,0
0609ed89d263dcb,cat_2,cat_1,cat_1,cat_2,cat_2,cat_7,cat_2,cat_4,cat_0,1
060b048f3f45c8c,cat_4,,cat_1,,cat_2,cat_7,cat_2,cat_5,cat_2,1
060dba6286bc65d,cat_1,cat_2,cat_0,cat_5,cat_0,cat_3,cat_3,cat_2,cat_1,0
060dbf7fc2e3217,cat_4,,cat_1,cat_5,cat_1,cat_0,cat_3,cat_0,cat_1,1
0610644be4ed4e1,cat_3,cat_3,cat_1,,cat_2,cat_2,cat_2,,cat_1,1
0611f700c267a87,cat_4,,cat_1,cat_5,cat_2,cat_2,cat_3,cat_4,cat_0,1
061460d785e61e0,cat_1,cat_1,cat_0,cat_5,cat_1,cat_4,cat_2,cat_1,cat_0,0
06166705e0aa691,cat_2,,cat_1,cat_1,cat_2,cat_7,cat_3,cat_5,cat_1,1
0618289e7621b1e,cat_2,cat_2,cat_0,cat_3,cat_1,cat_0,cat_3,,cat_1,0
0618411f7c50933,,,cat_0,,cat_1,cat_7,cat_3,cat_4,cat_1,1
061c69d3383328f,cat_2,,cat_1,,cat_2,cat_7,cat_3,cat_5,cat_2,1
061f796493abe4e,cat_2,cat_1,cat_1,cat_5,cat_2,cat_0,cat_0,cat_0,cat_0,1
06270a9715ef5d6,cat_2,,cat_1,,cat_2,cat_4,cat_0,cat_4,cat_2,1
062feba0aa6d0a9,cat_1,cat_2,cat_0,cat_3,cat_0,cat_6,cat_2,cat_1,cat_2,0
