row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
0083f7fb200c81b,cat_0,,cat_0,cat_5,cat_2,cat_4,cat_6,,cat_3,cat_1,cat_6,cat_5,1
0093d5de3a79350,cat_0,,cat_0,cat_1,cat_3,cat_2,cat_0,cat_2,cat_7,cat_1,cat_5,cat_5,1
00a57641af3bf26,,cat_1,cat_0,cat_4,,cat_4,cat_6,cat_2,cat_5,cat_1,cat_0,cat_7,1
00ac5602cf58aed,,cat_0,cat_0,cat_0,cat_0,cat_5,cat_6,cat_0,cat_0,cat_1,cat_1,cat_5,0
00b28d1ba3efbf9,cat_0,cat_0,cat_0,cat_2,cat_4,cat_3,cat_3,,cat_3,cat_1,cat_0,cat_1,1
00b51956e7b15dc,cat_2,,cat_0,cat_5,cat_3,cat_5,cat_0,cat_1,cat_6,cat_1,cat_1,cat_4,1
00c38f0d6560423,,cat_1,cat_0,cat_3,cat_3,cat_1,cat_6,cat_4,cat_7,cat_1,cat_5,cat_1,0
00c6b37f199123f,cat_5,,cat_0,cat_1,,cat_0,cat_0,cat_1,cat_5,cat_0,cat_3,cat_1,1
00dcd82ec483e07,cat_0,,cat_0,cat_5,cat_3,cat_3,cat_0,cat_4,cat_7,cat_0,cat_3,cat_4,1
00e01f5704e5bf1,,cat_1,cat_0,cat_0,,cat_2,cat_4,cat_2,cat_5,cat_0,cat_5,cat_6,0
00e967c0b0de066,cat_5,,cat_0,cat_5,cat_2,cat_0,cat_3,cat_2,cat_5,cat_0,cat_1,cat_3,0
00fbc8db90d1058,cat_2,cat_0,cat_0,cat_2,cat_3,cat_4,cat_0,cat_0,cat_5,cat_1,cat_6,cat_5,0
00ffa32e0ef5726,cat_1,,cat_0,cat_0,cat_1,cat_1,cat_3,cat_4,cat_2,cat_0,cat_5,cat_2,0
01024ae7a9c49ab,cat_5,cat_1,cat_0,cat_5,cat_1,cat_2,cat_6,cat_0,cat_6,cat_0,cat_1,cat_3,1
010dbf2a40b7d86,cat_0,cat_0,cat_0,cat_2,cat_4,cat_0,cat_3,cat_4,cat_7,cat_1,cat_0,cat_6,1
010deda394ea8e1,cat_0,cat_0,cat_0,cat_5,cat_2,cat_0,cat_0,,cat_3,cat_1,cat_5,cat_1,0
0112c0a61a21cde,cat_5,,cat_0,cat_5,cat_1,cat_4,cat_2,,cat_5,cat_0,cat_3,cat_5,1
011b5b92416e3a3,cat_5,cat_0,cat_0,cat_1,cat_3,cat_0,cat_1,cat_1,cat_7,cat_0,cat_1,cat_0,1
01286ece1dcfcaa,cat_1,,cat_0,cat_0,cat_2,cat_5,cat_2,,cat_5,cat_0,cat_3,cat_4,1
0131fd09c2730b6,cat_2,,cat_0,cat_2,cat_4,cat_4,cat_5,cat_4,cat_7,cat_1,cat_0,cat_7,1
01363741456ec55,cat_2,,cat_0,cat_5,cat_3,cat_3,cat_3,cat_4,cat_5,cat_1,cat_1,cat_0,0
0139e4a01cee97b,cat_5,cat_0,cat_0,cat_5,cat_3,cat_3,cat_3,cat_2,cat_5,cat_0,cat_4,cat_0,1
013b0b2b549bcc0,cat_0,,cat_0,cat_1,cat_4,cat_3,cat_2,cat_1,cat_1,cat_1,cat_0,cat_7,0
014610f8ac9280e,cat_5,cat_0,cat_0,cat_0,cat_3,cat_5,cat_2,cat_4,cat_5,cat_1,cat_5,cat_5,0
014902f33f586a4,cat_5,cat_0,cat_0,cat_2,,cat_2,cat_6,,cat_2,cat_0,cat_6,cat_5,1
014c4360c0ce22f,cat_5,cat_1,cat_0,cat_5,cat_3,cat_3,cat_6,,cat_7,cat_0,cat_1,cat_4,1
014f630ee00d4bb,cat_0,cat_0,cat_0,cat_3,cat_3,cat_2,cat_6,cat_0,cat_6,cat_1,cat_0,cat_7,1
015b9b8e3c52fce,cat_4,,cat_0,cat_1,cat_1,cat_5,cat_0,cat_0,cat_5,cat_0,cat_3,cat_7,0
015c6136a48a3c1,,,cat_0,cat_5,cat_2,cat_0,cat_1,cat_3,cat_3,cat_1,cat_6,cat_0,0
018b29c40fcca60,cat_0,,cat_0,cat_5,cat_3,cat_0,cat_3,cat_1,cat_3,cat_1,cat_4,cat_0,1
01911c587ea938b,cat_5,cat_0,cat_0,cat_1,cat_4,cat_5,cat_5,cat_2,cat_5,cat_0,cat_3,cat_4,0
01a2e57854ca227,,cat_0,cat_0,cat_3,cat_1,cat_2,cat_6,,cat_5,cat_0,cat_6,cat_4,0
01a834ecb1dd517,,cat_0,cat_0,cat_5,cat_0,cat_0,cat_3,,cat_7,cat_1,cat_4,cat_7,1
01aa447b53a9a2e,cat_0,cat_1,cat_0,cat_1,cat_4,cat_3,cat_2,,cat_0,cat_1,cat_1,cat_4,0
01b7fa2bac51200,cat_5,,cat_0,cat_5,cat_4,cat_5,cat_1,cat_3,cat_4,cat_0,cat_1,cat_4,0
01c045b934c364e,cat_5,cat_1,cat_0,cat_5,cat_0,cat_3,cat_0,,cat_5,cat_0,cat_1,cat_3,1
01c874c26e24839,cat_0,cat_1,cat_0,cat_1,cat_2,cat_4,cat_6,cat_2,cat_4,cat_1,cat_6,cat_0,1
01de844a160f330,,cat_1,cat_0,cat_2,cat_3,cat_4,cat_1,cat_1,cat_3,cat_1,cat_5,cat_2,0
01ee39394411442,,cat_0,cat_0,cat_4,,cat_2,cat_1,,cat_5,cat_0,cat_5,cat_2,0
01f72307d2ae4e1,cat_5,cat_0,cat_0,cat_5,cat_0,cat_2,cat_0,cat_0,cat_5,cat_0,cat_3,cat_0,0
01faaa486de86ac,cat_0,,cat_0,cat_5,cat_3,cat_0,cat_2,cat_4,cat_2,cat_0,cat_2,cat_7,0
0200d4a36faa03c,cat_5,,cat_0,cat_5,,cat_3,cat_1,cat_3,cat_5,cat_0,cat_5,cat_2,1
020532639b2daa8,cat_0,cat_0,cat_0,cat_5,cat_2,cat_1,cat_3,,cat_4,cat_1,cat_1,cat_0,1
020bc8274b9ff27,cat_5,cat_0,cat_0,cat_5,cat_1,cat_3,cat_6,cat_4,cat_5,cat_0,cat_1,cat_3,0
0217005d15fe6ec,cat_5,,cat_0,cat_5,,cat_2,cat_3,,cat_5,cat_0,cat_4,cat_6,0
0218cf9fd6cbc8d,,cat_1,cat_0,cat_3,cat_2,cat_0,cat_6,,cat_2,cat_1,cat_1,cat_3,0
021cd06cee0a51b,,cat_1,cat_0,cat_0,,cat_1,cat_0,cat_1,cat_7,cat_1,cat_5,cat_6,0
022bfc3d67fab1c,cat_0,cat_0,cat_0,cat_3,cat_3,cat_1,cat_6,cat_2,cat_7,cat_1,cat_0,cat_6,1
0230114f1c7027c,cat_0,cat_1,cat_0,cat_5,,cat_2,cat_2,cat_0,cat_3,cat_1,cat_6,cat_1,0
023f32919c1ed99,cat_2,,cat_0,cat_0,,cat_2,cat_1,,cat_5,cat_1,cat_2,cat_7,0
02640a6ac90690d,cat_0,,cat_0,cat_3,cat_3,cat_0,cat_6,cat_3,cat_4,cat_1,cat_0,cat_6,1
0269690b80d8d26,cat_1,cat_0,cat_0,cat_2,,cat_3,cat_1,cat_4,cat_2,cat_0,cat_4,cat_4,1
026ec8d4dab0afc,cat_0,cat_0,cat_0,cat_4,cat_4,cat_3,cat_4,cat_2,cat_3,cat_1,cat_1,cat_5,0
026fc0ca192de20,,,cat_0,cat_4,cat_4,cat_3,cat_5,cat_1,cat_0,cat_1,cat_1,cat_1,0
02828efbde20514,,,cat_0,cat_2,cat_0,cat_3,cat_0,,cat_7,cat_0,cat_3,cat_1,1
029d5da3598d110,cat_1,cat_1,cat_0,cat_5,,cat_0,cat_5,,cat_2,cat_0,cat_3,cat_4,1
02ab6bb1ca9901a,cat_5,,cat_0,cat_4,cat_2,cat_0,cat_0,cat_4,cat_5,cat_0,cat_3,cat_2,1
02ae3d5c9d57d18,,cat_0,cat_0,cat_5,cat_4,cat_3,cat_2,,cat_5,cat_0,cat_1,cat_6,0
02b6e60da32f775,,cat_1,cat_0,cat_2,,cat_0,cat_2,cat_4,cat_5,cat_0,cat_2,cat_7,0
02bb0c498f94d78,,,cat_0,cat_3,,cat_0,cat_6,,cat_5,cat_1,cat_0,cat_4,0
02c639adbb4a6ee,cat_1,cat_0,cat_0,cat_0,cat_1,cat_3,cat_2,,cat_5,cat_0,cat_6,cat_1,1
02d46042d7b90f4,,,cat_0,cat_5,cat_4,cat_2,cat_3,cat_2,cat_5,cat_0,cat_4,cat_0,0
02df9ec4da49fa1,cat_5,,cat_0,cat_1,cat_1,cat_5,cat_0,cat_4,cat_7,cat_0,cat_5,cat_3,1
02e338a10f3ee75,,cat_1,cat_0,cat_2,cat_0,cat_2,cat_4,,cat_3,cat_1,cat_0,cat_7,1
02ebc2f80aad622,,cat_1,cat_0,cat_5,cat_2,cat_3,cat_6,cat_2,cat_0,cat_0,cat_5,cat_2,0
02ed0bb926829e9,,,cat_0,cat_0,,cat_1,cat_0,cat_2,cat_5,cat_1,cat_4,cat_3,0
02f000010cd6ee2,cat_1,,cat_0,cat_3,cat_4,cat_0,cat_6,,cat_1,cat_0,cat_1,cat_4,0
02f1148302443f1,cat_1,cat_0,cat_0,cat_1,cat_4,cat_0,cat_6,cat_1,cat_5,cat_0,cat_2,cat_6,0
030aa0b9dbce369,,cat_1,cat_0,cat_5,cat_2,cat_4,cat_6,,cat_2,cat_1,cat_1,cat_3,1
03459e83692ace0,cat_1,,cat_0,cat_3,cat_1,cat_0,cat_6,cat_4,cat_7,cat_0,cat_3,cat_4,1
034bcf04c2c5bab,cat_5,,cat_0,cat_2,,cat_4,cat_0,cat_3,cat_5,cat_0,cat_3,cat_1,1
0352f895d894849,cat_1,,cat_0,cat_3,cat_1,cat_2,cat_6,,cat_1,cat_0,cat_1,cat_6,0
036136e468629d1,cat_7,,cat_0,cat_4,cat_2,cat_4,cat_5,cat_1,cat_5,cat_1,cat_6,cat_1,0
037ed00a566f4c6,,,cat_0,cat_5,cat_3,cat_1,cat_3,cat_1,cat_2,cat_1,cat_1,cat_1,1
0384e77c780054b,cat_4,,cat_1,cat_5,cat_0,cat_2,cat_2,,cat_1,cat_0,cat_6,cat_0,0
038d26f2e824ee2,,,cat_0,cat_5,cat_4,cat_0,cat_4,,cat_2,cat_0,cat_1,cat_0,1
0390cbfe8f3b6ab,cat_2,,cat_0,cat_2,cat_3,cat_0,cat_1,cat_1,cat_7,cat_1,cat_0,cat_2,1
03c06228923183f,,,cat_1,cat_4,,cat_3,cat_6,,cat_6,cat_0,cat_1,cat_1,1
03c07f268da4888,cat_2,cat_1,cat_0,cat_4,cat_1,cat_2,cat_6,,cat_5,cat_1,cat_1,cat_4,1
03c28edd240495b,,cat_0,cat_0,cat_5,,cat_5,cat_0,cat_2,cat_1,cat_0,cat_3,cat_6,0
03c76a8307b75ed,,,cat_0,cat_1,cat_4,cat_2,cat_6,cat_2,cat_2,cat_0,cat_1,cat_0,1
03d74d01ebc269b,,cat_1,cat_0,cat_0,cat_2,cat_1,cat_6,cat_0,cat_4,cat_1,cat_0,cat_1,1
03dcbdae384caf4,,cat_0,cat_0,cat_1,cat_0,cat_3,cat_3,,cat_5,cat_0,cat_1,cat_4,1
03e95fd5150845f,cat_5,cat_0,cat_0,cat_5,cat_0,cat_3,cat_0,cat_2,cat_2,cat_0,cat_6,cat_0,1
03eefafd95ff2fc,,cat_0,cat_0,cat_5,cat_1,cat_4,cat_3,cat_0,cat_2,cat_1,cat_1,cat_0,0
040049ebd58bcb0,cat_1,,cat_0,cat_1,,cat_5,cat_6,cat_0,cat_2,cat_0,cat_1,cat_1,0
041b9cef221b25f,,cat_1,cat_0,cat_5,cat_2,cat_1,cat_6,cat_1,cat_4,cat_1,cat_1,cat_2,1
041f77380f848fa,cat_5,cat_1,cat_0,cat_5,cat_3,cat_1,cat_5,cat_2,cat_7,cat_0,cat_1,cat_1,1
0422f9dba86b847,,,cat_0,cat_1,cat_1,cat_3,cat_2,,cat_5,cat_0,cat_6,cat_0,1
04276d704685b7c,cat_5,,cat_0,cat_5,,cat_3,cat_6,,cat_5,cat_0,cat_1,cat_3,1
04386f233cdeaac,cat_1,cat_0,cat_0,cat_5,cat_1,cat_4,cat_3,cat_1,cat_5,cat_0,cat_1,cat_0,1
0438a08f543d09a,cat_1,,cat_0,cat_5,cat_2,cat_2,cat_5,,cat_7,cat_0,cat_1,cat_3,1
0440bfb5d6b5719,,cat_0,cat_0,cat_2,cat_2,cat_5,cat_5,,cat_5,cat_1,cat_6,cat_3,1
044b59635625c30,cat_1,cat_1,cat_0,cat_0,cat_0,cat_4,cat_1,cat_1,cat_7,cat_0,cat_1,cat_6,1
045ea0d86d660a1,cat_4,,cat_0,cat_5,cat_1,cat_1,cat_0,,cat_5,cat_0,cat_6,cat_4,0
0461f9ac25e624d,cat_5,cat_0,cat_0,cat_1,cat_1,cat_3,cat_0,cat_0,cat_2,cat_0,cat_6,cat_5,0
047900a79760268,cat_6,,cat_0,cat_5,cat_4,cat_0,cat_0,,cat_5,cat_1,cat_5,cat_1,0
047e92a49254133,,,cat_0,cat_2,cat_4,cat_0,cat_6,cat_4,cat_4,cat_1,cat_5,cat_0,0
047e97776f9ff86,,,cat_0,cat_5,cat_4,cat_5,cat_0,cat_1,cat_5,cat_0,cat_5,cat_6,0
04849dad70a0d3a,cat_0,,cat_0,cat_4,cat_4,cat_2,cat_0,cat_3,cat_4,cat_1,cat_5,cat_2,0
048f73abae847f4,cat_2,,cat_0,cat_1,cat_3,cat_2,cat_4,,cat_5,cat_1,cat_3,cat_6,1
0495aff8a706eb8,cat_5,,cat_0,cat_2,cat_0,cat_5,cat_4,cat_0,cat_5,cat_0,cat_5,cat_2,0
04979fee303f0ec,cat_4,cat_0,cat_1,cat_5,cat_3,cat_0,cat_3,cat_3,cat_4,cat_0,cat_1,cat_5,1
049ec86b2eae13c,cat_5,,cat_0,cat_0,cat_4,cat_4,cat_6,cat_2,cat_5,cat_0,cat_1,cat_0,0
04a135e8919739d,cat_5,,cat_0,cat_1,cat_1,cat_1,cat_2,cat_1,cat_5,cat_0,cat_6,cat_1,0
04a55a291ea5239,,cat_0,cat_0,cat_5,cat_3,cat_0,cat_0,,cat_5,cat_0,cat_3,cat_6,0
04ac5d7895eab59,cat_2,cat_1,cat_0,cat_2,,cat_1,cat_6,,cat_5,cat_1,cat_0,cat_6,1
04b07e8d323912c,cat_4,,cat_1,cat_4,cat_1,cat_3,cat_6,cat_0,cat_4,cat_0,cat_6,cat_3,0
04b8799a6666c59,cat_1,cat_0,cat_0,cat_2,cat_2,cat_3,cat_1,cat_1,cat_7,cat_0,cat_3,cat_2,1
04bc81ae7fd9d90,cat_3,cat_1,cat_0,cat_1,cat_4,cat_4,cat_2,,cat_1,cat_1,cat_6,cat_4,0
04c0094a0b761bc,cat_1,cat_0,cat_0,cat_4,,cat_3,cat_2,cat_1,cat_7,cat_0,cat_1,cat_1,1
04cc6dc1b720586,cat_0,cat_1,cat_0,cat_0,cat_2,cat_4,cat_6,cat_2,cat_3,cat_1,cat_6,cat_3,1
04d02c47deb3eeb,,cat_0,cat_0,cat_3,cat_3,cat_0,cat_6,cat_3,cat_5,cat_1,cat_0,cat_6,1
04d7f4bda292b75,cat_0,cat_0,cat_0,cat_0,cat_2,cat_0,cat_0,cat_0,cat_4,cat_1,cat_5,cat_2,0
04e166ad9d28578,,,cat_0,cat_5,,cat_4,cat_2,cat_0,cat_3,cat_1,cat_4,cat_3,0
04e3d69db85afe6,cat_0,,cat_0,cat_4,cat_4,cat_5,cat_6,cat_4,cat_5,cat_1,cat_1,cat_3,1
04f41eb4e0375bf,cat_1,cat_1,cat_0,cat_4,,cat_1,cat_6,,cat_7,cat_0,cat_6,cat_4,1
04f78c55fe4391f,,,cat_0,cat_2,cat_1,cat_0,cat_0,,cat_2,cat_0,cat_3,cat_6,0
050a71f2e224b30,,,cat_0,cat_1,cat_3,cat_2,cat_6,,cat_7,cat_0,cat_1,cat_2,1
050b7dc4be55afa,cat_2,cat_0,cat_0,cat_0,,cat_1,cat_0,cat_2,cat_7,cat_1,cat_5,cat_1,0
05147426b95d66d,cat_5,,cat_0,cat_5,cat_0,cat_3,cat_6,cat_3,cat_5,cat_0,cat_1,cat_6,1
051c76f2884aa88,,cat_0,cat_0,cat_0,cat_3,cat_2,cat_0,cat_3,cat_2,cat_0,cat_1,cat_3,1
053092165e72584,cat_1,cat_0,cat_0,cat_5,cat_4,cat_2,cat_0,,cat_5,cat_0,cat_3,cat_4,0
05309ae47d1552b,cat_2,,cat_0,cat_5,cat_3,cat_0,cat_4,,cat_5,cat_1,cat_1,cat_4,1
0530eb1d7273e30,cat_5,,cat_0,cat_5,cat_0,cat_4,cat_0,cat_1,cat_5,cat_0,cat_3,cat_1,1
0531ff0ed0521b7,cat_5,cat_1,cat_0,cat_0,,cat_1,cat_4,cat_3,cat_5,cat_0,cat_6,cat_7,1
053347f86153e70,cat_5,,cat_0,cat_5,cat_1,cat_2,cat_5,,cat_5,cat_0,cat_2,cat_3,0
053cf2dda7a3cfd,,cat_1,cat_0,cat_1,cat_4,cat_0,cat_0,,cat_0,cat_1,cat_5,cat_6,0
05405a4a0cf45fc,cat_5,,cat_0,cat_5,cat_0,cat_3,cat_4,,cat_5,cat_0,cat_1,cat_6,1
0546c41854e2554,cat_0,cat_1,cat_0,cat_1,cat_3,cat_3,cat_5,cat_3,cat_7,cat_1,cat_5,cat_1,1
054cfad5ebe4249,cat_0,,cat_0,cat_0,cat_2,cat_2,cat_6,cat_0,cat_7,cat_1,cat_1,cat_6,1
054d8493d881da8,,cat_0,cat_0,cat_4,cat_0,cat_3,cat_2,,cat_5,cat_1,cat_5,cat_0,0
055418bba429f2d,cat_2,cat_1,cat_0,cat_3,cat_2,cat_0,cat_6,,cat_2,cat_1,cat_0,cat_4,1
05595daa8db9a00,,,cat_0,cat_3,cat_3,cat_5,cat_4,cat_1,cat_3,cat_1,cat_1,cat_3,0
0559604e5ebdae4,cat_2,cat_1,cat_0,cat_1,cat_0,cat_1,cat_5,cat_0,cat_0,cat_1,cat_0,cat_6,1
05599902b28b6ac,,cat_0,cat_0,cat_0,cat_3,cat_2,cat_1,cat_4,cat_1,cat_1,cat_4,cat_1,1
0576049661725a9,cat_4,,cat_0,cat_5,cat_4,cat_4,cat_2,cat_3,cat_1,cat_1,cat_1,cat_3,0
0579fa7ef8dad9b,cat_5,cat_0,cat_0,cat_0,cat_4,cat_4,cat_2,cat_2,cat_5,cat_0,cat_4,cat_0,0
057c43d6e1a7e6d,cat_1,cat_0,cat_0,cat_1,cat_0,cat_4,cat_0,cat_2,cat_2,cat_0,cat_3,cat_6,0
057d3f53ff6bca6,cat_0,,cat_0,cat_3,cat_3,cat_2,cat_4,,cat_6,cat_1,cat_5,cat_1,1
057dbd456b74e18,,cat_0,cat_0,cat_1,cat_4,cat_5,cat_0,,cat_5,cat_0,cat_5,cat_2,0
057e151ca59398e,cat_6,cat_1,cat_0,cat_5,cat_3,cat_4,cat_6,cat_4,cat_7,cat_1,cat_1,cat_3,1
057e735390222b7,cat_6,,cat_0,cat_2,cat_4,cat_1,cat_0,cat_3,cat_5,cat_0,cat_1,cat_1,1
058cd951e7f2abc,cat_5,cat_1,cat_0,cat_1,cat_1,cat_2,cat_0,cat_2,cat_5,cat_0,cat_3,cat_6,1
05965dbc8f34fb9,cat_0,cat_1,cat_0,cat_1,cat_3,cat_0,cat_6,cat_4,cat_3,cat_1,cat_6,cat_5,1
059d73f3e677e12,,,cat_0,cat_1,cat_4,cat_1,cat_4,cat_1,cat_2,cat_1,cat_5,cat_5,0
05a09ac32409c6e,cat_0,,cat_0,cat_1,cat_3,cat_5,cat_0,cat_2,cat_3,cat_1,cat_1,cat_0,0
05a4728918867d8,cat_5,cat_0,cat_0,cat_5,cat_1,cat_4,cat_0,cat_4,cat_5,cat_0,cat_5,cat_2,0
05b0f9dbe35f914,cat_7,cat_0,cat_0,cat_2,cat_4,cat_0,cat_2,cat_3,cat_0,cat_1,cat_5,cat_6,0
05b1e936dae71a0,cat_4,cat_0,cat_0,cat_5,cat_3,cat_3,cat_3,cat_1,cat_5,cat_1,cat_5,cat_2,0
05c2e0855e1bdb1,cat_5,cat_1,cat_0,cat_5,cat_3,cat_5,cat_4,cat_1,cat_5,cat_0,cat_3,cat_5,1
05db6b97adb420a,,cat_0,cat_0,cat_5,cat_0,cat_2,cat_0,cat_2,cat_7,cat_1,cat_5,cat_6,1
05dbf23e1e0fbe5,cat_1,,cat_0,cat_1,cat_1,cat_4,cat_0,cat_0,cat_1,cat_0,cat_3,cat_3,0
05de8a4e20ddc51,cat_5,,cat_0,cat_1,cat_1,cat_5,cat_0,cat_2,cat_5,cat_0,cat_3,cat_4,1
05e420c33eacddf,cat_5,,cat_0,cat_5,cat_2,cat_3,cat_2,,cat_5,cat_0,cat_3,cat_4,1
05e8206cdbfb15d,,cat_0,cat_0,cat_0,cat_1,cat_4,cat_0,cat_4,cat_5,cat_0,cat_3,cat_6,0
05ea9e590aadd52,cat_5,,cat_0,cat_5,,cat_2,cat_1,cat_3,cat_5,cat_0,cat_1,cat_6,1
05fd08dfdefe8d5,cat_1,,cat_0,cat_1,cat_2,cat_2,cat_6,,cat_2,cat_0,cat_1,cat_0,1
06051f7b23695f7,cat_7,cat_1,cat_0,cat_0,cat_3,cat_3,cat_2,cat_3,cat_5,cat_1,cat_3,cat_4,1
06067accc307630,,,cat_0,cat_4,cat_4,cat_5,cat_2,,cat_5,cat_1,cat_5,cat_5,0
060b177f2ff9106,cat_5,cat_1,cat_0,cat_2,cat_4,cat_4,cat_0,cat_1,cat_5,cat_0,cat_3,cat_3,1
0610a822e3e7008,,cat_1,cat_0,cat_5,cat_3,cat_2,cat_6,cat_4,cat_7,cat_1,cat_1,cat_0,1
0613500a5b87059,,,cat_0,cat_0,cat_4,cat_4,cat_1,cat_3,cat_5,cat_0,cat_4,cat_0,1
061be187e91399d,cat_0,cat_1,cat_0,cat_5,cat_4,cat_4,cat_5,cat_4,cat_4,cat_1,cat_5,cat_2,0
062116d1ca14ea3,cat_2,,cat_0,cat_1,cat_3,cat_5,cat_1,cat_4,cat_2,cat_1,cat_5,cat_6,0
06252b45a6d2f23,cat_5,cat_1,cat_0,cat_5,,cat_5,cat_0,cat_4,cat_5,cat_0,cat_2,cat_7,0
0626af2b696aabe,,cat_1,cat_0,cat_5,cat_1,cat_3,cat_0,cat_3,cat_5,cat_0,cat_3,cat_2,0
06288c6ea8131b3,cat_5,cat_0,cat_0,cat_2,cat_0,cat_3,cat_3,,cat_4,cat_0,cat_5,cat_2,0
062a2f09a0f777b,cat_5,,cat_0,cat_5,cat_1,cat_1,cat_0,cat_3,cat_5,cat_0,cat_1,cat_0,0
0642679be30f54c,,,cat_0,cat_0,,cat_2,cat_2,cat_4,cat_2,cat_1,cat_5,cat_0,0
064640c16351577,cat_0,cat_1,cat_0,cat_1,cat_4,cat_3,cat_0,cat_2,cat_3,cat_1,cat_5,cat_6,0
0646b91124b556c,cat_5,cat_0,cat_0,cat_5,cat_2,cat_0,cat_4,cat_1,cat_5,cat_0,cat_0,cat_1,1
0647c65d683d64a,cat_5,,cat_0,cat_5,,cat_5,cat_6,cat_0,cat_5,cat_0,cat_2,cat_6,0
0658f07ec552ce5,cat_1,cat_1,cat_0,cat_5,cat_1,cat_2,cat_3,cat_0,cat_2,cat_0,cat_1,cat_3,0
06680b01611c227,cat_0,,cat_0,cat_1,cat_4,cat_3,cat_0,,cat_4,cat_1,cat_5,cat_4,1
066ee287be294fb,,cat_0,cat_0,cat_2,cat_3,cat_2,cat_1,,cat_5,cat_1,cat_0,cat_6,0
0671fc14e6d06c9,,cat_0,cat_0,cat_0,cat_3,cat_3,cat_5,,cat_7,cat_1,cat_5,cat_2,0
067a0386fa10a90,cat_2,cat_0,cat_0,cat_5,cat_0,cat_5,cat_1,cat_3,cat_5,cat_0,cat_3,cat_6,0
067e488ea0e6cb1,cat_0,cat_1,cat_0,cat_0,cat_4,cat_5,cat_2,,cat_4,cat_1,cat_1,cat_6,1
068a1838a8b34d6,cat_0,cat_1,cat_0,cat_5,cat_3,cat_0,cat_4,cat_1,cat_6,cat_1,cat_1,cat_1,1
068c1b6e624979d,cat_0,,cat_0,cat_5,cat_3,cat_0,cat_0,cat_2,cat_6,cat_1,cat_5,cat_2,0
068d5fbec5e9ba7,,,cat_0,cat_0,,cat_1,cat_1,cat_1,cat_7,cat_0,cat_1,cat_1,1
069042bc55864b8,cat_5,cat_0,cat_0,cat_0,cat_2,cat_3,cat_0,,cat_5,cat_0,cat_6,cat_5,0
069189731c48613,cat_1,cat_1,cat_0,cat_1,cat_0,cat_3,cat_5,cat_0,cat_1,cat_0,cat_0,cat_3,1
069ebf84044a55d,cat_0,cat_0,cat_0,cat_2,cat_3,cat_3,cat_2,cat_1,cat_3,cat_1,cat_0,cat_7,1
06aa5495df5609d,cat_0,,cat_0,cat_2,cat_4,cat_0,cat_2,cat_4,cat_6,cat_1,cat_5,cat_2,0
06ad7b572e7391c,cat_0,cat_0,cat_0,cat_4,cat_2,cat_2,cat_6,cat_3,cat_4,cat_0,cat_1,cat_3,1
06b87d4ed853c9c,cat_0,cat_0,cat_0,cat_5,cat_4,cat_4,cat_1,cat_3,cat_4,cat_1,cat_6,cat_1,1
06ba05f6b4c1557,cat_0,,cat_0,cat_4,,cat_2,cat_6,cat_0,cat_4,cat_1,cat_1,cat_4,1
