row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
06f1050adbbdd9,cat_4,51,0.1744420023718467,,,cat_0,cat_3,cat_1,3,0
074e22485b3d6e,cat_5,22,,cat_4,108,cat_2,cat_3,cat_2,5,0
0754c23fe476aa,cat_0,26,,cat_0,,cat_1,cat_0,cat_0,0,1
0754e234714236,cat_6,0,-0.47718899093535605,,47,cat_0,cat_3,cat_4,1,0
07828a98b3db4e,cat_5,0,2.7607813951262132,cat_0,6,cat_2,cat_1,cat_3,,1
0808ab4d232bc3,cat_6,0,,,,cat_0,cat_0,cat_0,3,1
0819f4860fd096,cat_5,14,,cat_4,,cat_2,cat_2,cat_2,3,0
082a2956d0e8da,cat_4,0,,,1,cat_0,cat_2,cat_4,4,0
082ed0028fc0de,cat_6,37,,cat_6,0,cat_0,cat_2,cat_2,,1
08db4e6b0d1296,cat_0,44,-0.8403556866676272,,,cat_0,cat_0,cat_2,1,0
08f29cfd2efa93,cat_4,20,-1.5999989916704793,cat_2,,cat_0,cat_2,cat_4,3,0
090d0a1ef355ff,cat_3,0,0.4422458891064367,cat_6,11,cat_3,cat_0,cat_1,,0
097e2626aa7415,cat_3,0,,,,cat_0,cat_0,cat_1,9,1
097f6127dfc6b3,cat_5,0,-0.3126044662352026,cat_4,16,cat_0,cat_2,cat_2,,1
0995a9ef488584,cat_0,20,,cat_2,36,cat_0,cat_3,cat_4,,0
09a3af43c57435,cat_4,0,0.7053354446308591,,,cat_2,cat_3,cat_4,,0
09f627ec291c22,cat_6,0,-0.032434563159241536,,7,cat_0,cat_0,cat_0,0,1
0a08848a15362d,cat_6,0,-0.49530945349098787,cat_1,,cat_0,cat_2,cat_0,3,0
0a3559210032e1,cat_5,0,0.01578488995434979,,0,cat_2,cat_0,cat_2,3,0
0a4c51857829e2,cat_5,45,,cat_7,0,cat_0,cat_2,cat_4,5,0
0a8c9c640ebbbe,cat_0,0,-0.9227383322366887,,19,cat_0,cat_2,cat_0,3,1
0b22745316545c,cat_1,,0.13121499803226233,cat_5,15,cat_2,cat_0,cat_0,0,0
0b7a385ef4e1c3,cat_4,0,0.22711795315425787,,,cat_0,cat_3,cat_4,4,0
0b831914effd22,cat_0,26,2.1195513299031874,,45,cat_2,cat_2,cat_4,,1
0b9bb00bb7447b,cat_4,23,1.2437610380611406,cat_5,,cat_1,cat_3,cat_4,4,1
0b9dd3da2b1f6f,cat_4,0,0.18089903848097388,cat_1,11,cat_0,cat_2,cat_4,,0
0c181ce2d92ed4,cat_2,41,,cat_3,0,cat_2,cat_0,cat_4,3,0
0c6b66d909757d,cat_1,43,0.1687775860197409,cat_0,,cat_0,cat_0,cat_4,,0
0c949906311edf,cat_3,17,0.39462441987731944,,39,cat_2,cat_3,cat_4,,0
0ce5d292f892bf,cat_5,0,-0.4153192256581272,cat_4,,cat_0,cat_3,cat_2,4,1
0cee279e7c9e76,cat_5,,-1.7684914530018583,cat_5,,cat_0,cat_2,cat_2,4,1
0cfb0c6b74d258,cat_1,72,-1.8187533346007534,cat_5,51,cat_0,cat_3,cat_0,,1
0d3a536a230cc9,cat_5,49,,,,cat_2,cat_3,cat_1,7,0
0d927d63c6612d,cat_5,37,,cat_5,,cat_3,cat_2,cat_4,,1
0d9fd695a30f43,cat_0,0,,cat_0,0,cat_2,cat_0,cat_0,,0
0dae9bad738531,cat_6,28,-1.2989293811356266,cat_2,,cat_0,cat_2,cat_2,,1
0db9e546ccce0c,cat_3,15,-2.088656477358649,cat_4,,cat_1,cat_2,cat_4,3,1
0dd8a43b21a072,cat_5,18,-1.6967288448017892,cat_4,,cat_0,cat_2,cat_2,4,1
0dddf11e3e7406,cat_5,13,0.8318561856562018,cat_4,0,cat_0,cat_3,cat_2,,0
0eab3a8b11e0fd,cat_0,52,0.6355850092164271,cat_0,,cat_2,cat_2,cat_0,,1
0ed6d3bb3b5168,cat_0,22,,,0,cat_2,cat_0,cat_4,,1
0f155d11afd275,cat_3,50,-0.17524664144275084,cat_0,,cat_1,cat_0,cat_0,4,0
0f508e925fbfda,cat_5,17,,,15,cat_2,cat_3,cat_1,,1
0f5bdfef38cfdb,cat_3,20,,cat_4,,cat_2,cat_1,cat_2,,0
0faf3809429fb4,cat_4,0,-0.11397129970722264,cat_4,29,cat_0,cat_0,cat_4,5,1
0fd258f3208c5f,cat_5,0,,cat_5,35,cat_3,cat_3,cat_3,,1
0fd37a5d963d6e,cat_5,40,,cat_6,10,cat_3,cat_0,cat_2,4,1
105a1bd713a91d,cat_3,,,cat_3,,cat_2,cat_2,cat_4,,1
10d99833912779,cat_5,0,,cat_5,,cat_0,cat_3,cat_3,6,1
10f39c45367ef6,cat_4,24,-1.2802847408393994,cat_5,35,cat_0,cat_3,cat_4,,0
110e05b0376594,cat_5,17,,cat_6,,cat_0,cat_3,cat_3,,1
1229e83b3f54f5,cat_5,48,,,,cat_0,cat_3,cat_2,,0
1242224d7d402e,cat_3,22,0.30908875274998215,cat_5,42,cat_0,cat_0,cat_1,2,1
125376dd31a101,cat_5,0,-1.6550579815887958,,,cat_0,cat_3,cat_2,4,0
12782bc5c4781b,cat_3,41,-0.4043231823734001,cat_5,9,cat_1,cat_2,cat_0,,0
12882722685c43,cat_3,38,0.3743843311107764,cat_5,37,cat_1,cat_0,cat_0,1,1
12cb8fec4434bd,cat_5,,,cat_4,11,cat_1,cat_3,cat_3,,1
12f71869281e7b,cat_3,0,-0.22970338488400105,,,cat_0,cat_3,cat_4,,0
1307702506a409,cat_4,0,,cat_3,,cat_2,cat_3,cat_4,5,0
1317eb7f1838d3,cat_5,0,,cat_4,0,cat_2,cat_3,cat_4,,0
13359eecd37378,cat_3,0,0.0027915185684770916,,,cat_1,cat_1,cat_5,0,0
135f6409610d10,cat_0,11,,,35,cat_0,cat_3,cat_0,,1
138697a2ffc276,cat_0,54,1.4616859845078929,cat_3,,cat_2,cat_3,cat_4,0,0
13ef02f30e58b9,cat_5,23,,cat_3,,cat_0,cat_3,cat_1,5,1
1412836290a900,cat_5,24,0.1658743551994789,,,cat_3,cat_0,cat_4,,0
145210e71f4a18,cat_3,0,1.9388964744737354,,,cat_2,cat_0,cat_1,,1
147d42766b00e3,cat_5,0,-0.7902692387468322,,16,cat_0,cat_2,cat_1,4,1
155a77c891a211,cat_4,33,,,0,cat_0,cat_2,cat_4,0,0
157fc681d877c6,cat_4,29,1.426647537213046,cat_3,0,cat_2,cat_2,cat_4,2,1
157ff1032ecffc,cat_6,32,2.3355127041837003,,26,cat_2,cat_2,cat_4,0,1
1580299ab8ce5a,cat_5,30,,cat_5,,cat_2,cat_0,cat_1,4,1
159973918fe673,cat_4,55,,cat_5,0,cat_0,cat_3,cat_4,5,0
15cb9f91ab4484,cat_0,21,0.8811863110551216,cat_3,,cat_2,cat_0,cat_4,,1
164ca31a469fd9,cat_0,14,1.0288198815645075,,0,cat_1,cat_0,cat_3,,1
1652568de15924,cat_4,24,-1.485331523397427,,,cat_0,cat_2,cat_0,3,1
16a942b1e80d66,cat_0,0,-0.10095923427736472,,,cat_1,cat_2,cat_0,0,0
170365bddaf268,cat_5,10,,,,cat_1,cat_0,cat_1,6,1
1707f87850fe96,cat_4,62,0.3455448091362491,,0,cat_0,cat_3,cat_4,2,1
177cd0b21f7c26,cat_6,21,1.9328327852169762,cat_3,,cat_2,cat_0,cat_5,2,1
181e3a7cbee4fb,cat_5,38,-0.36524936720430806,,,cat_1,cat_1,cat_3,7,0
18da7de493036f,cat_5,0,0.9720661009810048,cat_0,0,cat_2,cat_3,cat_1,7,1
195aa80f3224d2,cat_6,26,-1.2168058304174385,cat_0,4,cat_0,cat_2,cat_0,0,0
1967f52ea32028,cat_5,0,,,0,cat_0,cat_2,cat_2,1,1
197a515cfa4f81,cat_3,,1.5019426219899057,,,cat_2,cat_2,cat_5,2,0
19b9579da7ac7b,cat_3,0,-1.106198075917007,cat_5,20,cat_0,cat_3,cat_0,2,1
19c8319f9e1b45,cat_5,36,,cat_4,,cat_1,cat_0,cat_2,5,0
19d2fd09d26004,cat_4,41,,,40,cat_0,cat_2,cat_0,2,1
19ee564ae37be8,cat_2,3,3.4603078685865647,cat_3,0,cat_2,cat_0,cat_3,,1
1a17cbf020646c,cat_5,28,,cat_4,,cat_0,cat_2,cat_2,5,1
1acb3489e90569,cat_0,0,-0.15613586350196762,cat_5,0,cat_0,cat_0,cat_0,2,1
1b25276b2d6092,cat_0,11,2.611877972118093,cat_3,,cat_2,cat_1,cat_0,1,1
1b2c9e8645f9fc,cat_0,,-0.8583311813937793,cat_4,0,cat_0,cat_0,cat_2,0,0
1b3fc78c87578e,cat_5,,0.1912970654323971,cat_0,,cat_0,cat_2,cat_0,3,0
1c44d011a5cc5c,cat_3,34,0.1914607909475411,cat_1,0,cat_0,cat_2,cat_4,3,0
1d3982f68ab53e,cat_4,0,-1.198778010364658,cat_5,,cat_0,cat_2,cat_3,4,1
1dc1bfbce62e22,cat_6,27,-1.3030077907388053,,35,cat_0,cat_1,cat_2,0,0
1dc5854ddda1f7,cat_5,26,,cat_1,83,cat_0,cat_1,cat_3,,1
1ddbe47fd26ff5,cat_5,35,-0.5692571369519054,cat_7,,cat_0,cat_3,cat_1,3,0
1de0a5985f9b21,cat_3,0,,cat_3,,cat_0,cat_3,cat_4,,1
1e13cec28c9c5f,cat_3,0,1.366817604552293,cat_2,,cat_2,cat_0,cat_2,,0
1e318d594bb7e5,cat_5,27,-0.027016481777971002,cat_4,27,cat_0,cat_3,cat_2,4,1
1e87188f8b6e41,cat_5,0,0.4314624302854785,cat_5,,cat_2,cat_3,cat_4,7,0
1e8853d86f70ec,cat_0,10,,cat_3,,cat_2,cat_2,cat_4,0,0
1e8d11dfe1970b,cat_0,0,,cat_4,,cat_0,cat_1,cat_0,,0
1eb05fd0338b21,cat_5,,,cat_4,,cat_1,cat_3,cat_2,5,0
1eb555fa1ff80f,cat_5,12,,,,cat_2,cat_3,cat_4,,1
1ecf7b1486a434,cat_3,23,1.1879534754706855,cat_7,43,cat_2,cat_0,cat_1,1,0
1f1014020c5dab,cat_3,0,,cat_2,17,cat_2,cat_0,cat_1,1,1
1f3bf92ca20e13,cat_4,0,,cat_6,0,cat_0,cat_0,cat_4,,1
1f55717f5cd2ce,cat_5,29,,,31,cat_3,cat_3,cat_1,4,0
1f8a49a0b8aa14,cat_0,0,-0.9006677768761739,cat_4,39,cat_1,cat_2,cat_3,,0
207cc79f50c809,cat_4,28,0.04353858442372538,cat_5,,cat_3,cat_3,cat_4,,0
20ae694686746b,cat_5,0,,cat_4,,cat_2,cat_2,cat_3,,1
20c9b7c552c08f,cat_5,0,-0.2157408316057609,cat_4,0,cat_0,cat_2,cat_2,,1
20cdd2268d8d1f,cat_3,,1.1579544374789354,cat_2,0,cat_2,cat_0,cat_5,0,0
20d45a851bed16,cat_5,29,,cat_4,0,cat_1,cat_2,cat_2,,1
210a0a97548242,cat_2,22,,cat_0,,cat_2,cat_1,cat_0,12,1
21667aace56f8c,cat_4,16,-0.4234113985164958,cat_5,0,cat_2,cat_3,cat_4,5,1
21696659265088,cat_6,0,-0.7687058993550783,cat_2,0,cat_0,cat_0,cat_5,0,1
21a61596da5766,cat_6,18,-0.8098876151018983,cat_2,0,cat_0,cat_2,cat_2,,0
21de1fb9278508,cat_4,38,1.4366029597513224,,,cat_2,cat_2,cat_4,1,0
228a5e764e4c27,cat_0,26,-0.4410144793845085,,42,cat_0,cat_3,cat_0,,0
22d74ee93ea4d9,cat_6,42,-1.4883971191295855,cat_4,0,cat_0,cat_1,cat_2,0,0
231d7b65fa525c,cat_3,0,0.47519170208258765,cat_6,,cat_2,cat_0,cat_4,0,0
2338ffd2fc1fa0,cat_0,49,0.37623389942370533,,39,cat_0,cat_2,cat_2,,0
237fc6a2cbf7ac,cat_3,0,-1.2649121348911636,,16,cat_0,cat_1,cat_0,,0
2380adfa04446f,cat_1,29,-0.04745726961225895,cat_5,27,cat_1,cat_3,cat_4,,0
23f708d3cce03f,cat_5,0,0.61142872213376,cat_4,,cat_2,cat_2,cat_4,7,0
2441d1a3a828c1,cat_0,8,-0.1758317433034864,cat_1,19,cat_0,cat_1,cat_0,0,1
24938eaa25d96f,cat_1,24,,cat_6,,cat_0,cat_3,cat_4,,0
24e4655dbe05fc,cat_3,0,,cat_1,,cat_0,cat_2,cat_0,5,0
2562fc25eaab51,cat_4,32,1.3119790108676723,cat_3,,cat_2,cat_3,cat_4,4,0
257461c57a6d53,cat_6,21,1.4278125249471605,cat_4,15,cat_2,cat_3,cat_3,9,1
25770073aa637b,cat_1,16,-1.3515018582683145,cat_7,0,cat_3,cat_2,cat_1,2,1
2623b3477bfe89,cat_3,0,-1.9851228700373529,,,cat_1,cat_2,cat_2,2,0
2683ac5fb539c0,cat_0,0,-0.21890071728796331,cat_6,,cat_1,cat_2,cat_2,0,0
26d9d4818889ec,cat_5,22,,cat_4,0,cat_2,cat_3,cat_3,7,0
26fdc0d193e450,cat_1,48,-1.5807721540929847,cat_1,18,cat_0,cat_2,cat_0,,0
27327de5dad822,cat_3,28,-0.2673556312325145,,0,cat_2,cat_0,cat_1,5,1
2768ba8d6ea5f2,cat_6,30,,,0,cat_2,cat_0,cat_2,5,1
277258ff8da87a,cat_4,47,1.1260764390157871,,,cat_2,cat_3,cat_4,5,0
27e4d497a14190,cat_0,37,-0.0784765398924876,cat_0,54,cat_2,cat_2,cat_0,0,0
2801c370689873,cat_3,14,,cat_5,27,cat_2,cat_0,cat_4,3,1
287a64c8385888,cat_4,36,1.0571763190030314,,32,cat_0,cat_1,cat_4,3,1
289c7284e00e52,cat_6,13,2.0777814569473634,cat_2,28,cat_2,cat_2,cat_4,6,1
293d100ba78264,cat_0,48,,cat_2,23,cat_0,cat_3,cat_2,0,0
2949e8896105d8,cat_4,0,2.0250179011915215,cat_3,,cat_2,cat_3,cat_4,4,1
2975593d9f43db,cat_6,0,-0.9677425283030994,,18,cat_3,cat_0,cat_2,4,0
29e23454b72c9a,cat_0,42,1.399146321289078,cat_4,,cat_2,cat_2,cat_2,0,0
29ed62cabc36e2,cat_3,0,,,,cat_0,cat_2,cat_1,,1
2a4bd849b50b6e,cat_2,0,0.0149381507426668,cat_5,26,cat_1,cat_0,cat_0,,0
2acd03cc39e835,cat_4,34,1.1613093784203796,cat_4,,cat_2,cat_3,cat_4,4,0
2aea13dd8864a8,cat_4,21,0.11640878986923109,,38,cat_0,cat_2,cat_4,,0
2b063f3bd42e18,cat_3,34,0.06330973007924012,cat_0,28,cat_1,cat_3,cat_4,3,1
2b0fad64046b4a,cat_4,21,,cat_6,62,cat_0,cat_3,cat_4,5,0
2b81474b02a778,cat_6,20,,cat_0,17,cat_2,cat_0,cat_0,0,0
2bce137d35eec7,cat_4,0,0.016737297580123878,cat_6,,cat_0,cat_2,cat_4,7,0
2c184f7438c343,cat_3,38,-0.16086202670364302,,71,cat_1,cat_1,cat_2,0,0
2c49324c2f8e68,cat_2,65,,cat_5,,cat_1,cat_0,cat_0,2,1
2c5dca9c9def55,cat_5,,-1.9217398095708473,,,cat_3,cat_3,cat_1,,0
2d10e46cca1129,cat_0,7,,cat_2,25,cat_0,cat_3,cat_4,,1
2d98a6105ae24a,cat_5,33,,cat_4,18,cat_0,cat_3,cat_2,4,0
2da06b8216e314,cat_0,58,0.057204400926671006,cat_0,,cat_2,cat_0,cat_0,,0
2dbdc996fba314,cat_3,5,0.7030997396838692,,0,cat_1,cat_2,cat_2,2,0
2e18fce9a6e50e,cat_5,19,-0.48417509330217245,cat_4,,cat_3,cat_3,cat_2,4,0
2e559bf270340a,cat_3,12,,cat_4,0,cat_0,cat_0,cat_1,4,1
2e8c3953f49998,cat_6,0,,cat_0,,cat_2,cat_0,cat_0,0,1
2e96ff8110a604,cat_5,,,cat_6,0,cat_0,cat_3,cat_2,,1
2ebae6b298cba1,cat_0,24,,cat_0,0,cat_2,cat_1,cat_0,0,1
2ee5b1d7e43292,cat_3,56,,cat_3,0,cat_2,cat_2,cat_5,4,1
2f0187e871e44e,cat_4,30,-1.3650705063173634,cat_3,,cat_3,cat_0,cat_4,4,1
2f3b7ed7014f41,cat_4,0,,cat_1,0,cat_0,cat_3,cat_4,6,1
2f7d1c249325ca,cat_5,59,,cat_2,,cat_0,cat_3,cat_3,,1
2f9e6ae3b51bb4,cat_3,17,1.1905612665424963,cat_2,,cat_2,cat_0,cat_1,,0
2ffde1653abd85,cat_3,0,-0.1235831832094283,cat_2,12,cat_3,cat_1,cat_5,0,0
303996ebc358a8,cat_0,40,0.9256746247219814,,0,cat_2,cat_0,cat_4,,0
304491d14920ab,cat_3,26,-0.725548223727827,cat_5,,cat_0,cat_3,cat_0,2,0
306c9f606ad65d,cat_4,23,,,,cat_1,cat_2,cat_4,,0
308fdacc97709e,cat_2,0,,cat_1,,cat_0,cat_2,cat_0,3,1
30a6d89932d01f,cat_4,36,-0.18271177741568667,cat_0,,cat_0,cat_0,cat_0,2,1
30d1eace4378f1,cat_5,28,0.5525611310797928,cat_4,32,cat_1,cat_3,cat_4,,1
30e1902c81bf38,cat_4,5,,cat_2,31,cat_1,cat_3,cat_4,4,0
3232fa65a8a999,cat_1,0,-0.019588319959694372,cat_0,0,cat_1,cat_0,cat_0,2,1
32df1033d920bf,cat_5,0,,cat_4,11,cat_1,cat_2,cat_2,3,0
331d7afd6b6f93,cat_5,0,,cat_2,58,cat_0,cat_2,cat_3,,1
334fc0be447c71,cat_5,0,,cat_6,26,cat_0,cat_3,cat_2,7,0
3353cac59b3bab,cat_1,5,0.519060639945515,,0,cat_0,cat_3,cat_4,4,0
3368dcea80a04a,cat_5,57,,cat_0,7,cat_1,cat_3,cat_4,,0
336ae083fbf053,cat_5,32,,cat_0,0,cat_0,cat_0,cat_1,3,0
33b5927834249e,cat_6,0,0.2773107436712381,cat_0,0,cat_0,cat_0,cat_0,0,0
341540e7f263d9,cat_5,0,,,40,cat_0,cat_3,cat_4,,1
353030e1ed95b3,cat_5,,1.0818834064815503,,0,cat_2,cat_3,cat_1,,1
35383b892c999c,cat_2,20,1.089313862233157,cat_5,41,cat_2,cat_2,cat_0,2,1
353d9654aa5088,cat_3,20,,cat_0,30,cat_1,cat_0,cat_0,4,1
355b18179136f0,cat_3,13,0.9404354259184025,cat_2,0,cat_2,cat_0,cat_3,2,1
358e0db9afc581,cat_4,0,-0.5760212473830866,cat_1,12,cat_0,cat_2,cat_4,1,1
3597af7fba7d5f,cat_0,43,,cat_3,37,cat_2,cat_1,cat_4,2,0
359c13509d3bdb,cat_0,0,2.036101676424322,,,cat_2,cat_0,cat_4,5,1
35f87cf5d34ec8,cat_5,0,,,,cat_2,cat_1,cat_2,,1
361fbf01b5e005,cat_5,45,0.06123385929487801,,,cat_0,cat_3,cat_3,,0
3648893b9cacd9,cat_1,0,-1.4390489072442483,,24,cat_0,cat_0,cat_0,1,0
364e924d8048cf,cat_4,32,-1.1870056033192107,cat_1,22,cat_0,cat_3,cat_4,0,0
3676693f46093f,cat_4,0,,cat_4,,cat_0,cat_2,cat_3,,1
36dc07411bc51c,cat_5,0,0.8500791907802371,cat_7,,cat_0,cat_2,cat_1,4,1
3725c65236be3a,cat_4,0,0.0016781511483815459,,,cat_1,cat_0,cat_4,3,0
3729213e502673,cat_2,65,-1.3101146826030101,cat_0,,cat_0,cat_0,cat_0,1,1
37437126d954d1,cat_3,0,1.0205333496766826,cat_2,0,cat_2,cat_0,cat_2,0,0
374f80575d03d7,cat_0,33,1.5848619339074588,,,cat_2,cat_2,cat_4,0,0
377fdc984491e4,cat_1,16,,,0,cat_1,cat_2,cat_4,5,0
3817083bad025e,cat_3,,2.2045150823996753,cat_3,16,cat_2,cat_0,cat_1,3,0
38cd99c85f448b,cat_5,19,-1.426783647602587,cat_4,,cat_0,cat_2,cat_2,8,1
38e6be2ccddc8b,cat_0,0,0.3149254295501577,cat_3,35,cat_2,cat_0,cat_4,,1
390636d74f7770,cat_6,18,-0.6214749703861805,,0,cat_0,cat_3,cat_2,,1
39c5096c63b703,cat_5,32,-1.0268104908536475,,,cat_3,cat_2,cat_1,,1
39d91873fb9c2f,cat_2,38,-0.7367299242961944,cat_2,15,cat_1,cat_0,cat_2,2,0
39db58b3624cd3,cat_0,13,-0.8047204000438962,cat_2,0,cat_1,cat_3,cat_4,3,0
3a236241afbba5,cat_5,0,-1.9728090021732758,cat_7,72,cat_0,cat_2,cat_1,3,1
3a9574452ef0ac,cat_4,32,,cat_1,0,cat_0,cat_0,cat_4,,1
3aa0a3651acbbc,cat_5,42,-0.8984499556943912,,26,cat_1,cat_3,cat_1,4,0
3aaec78f3c5de9,cat_5,0,-0.6748589530661174,cat_6,0,cat_0,cat_3,cat_2,5,0
3ac268f9df4162,cat_3,39,1.1786401741823949,cat_2,29,cat_2,cat_0,cat_1,2,1
3b2eb128d1c55d,cat_3,0,,cat_4,,cat_1,cat_3,cat_1,2,0
3b395e17afdc02,cat_5,0,,cat_0,39,cat_2,cat_3,cat_4,6,0
3b521176c9a713,cat_3,26,,cat_0,9,cat_0,cat_2,cat_0,3,1
3b84607dbf50cc,cat_5,15,,cat_4,71,cat_1,cat_3,cat_3,,1
3b8895ea505f6d,cat_1,23,-1.6453729937439596,,,cat_0,cat_2,cat_4,2,1
3bd2a91b343fe7,cat_5,0,1.7529438563511412,cat_4,42,cat_2,cat_2,cat_2,3,0
3c4d7d4135d39d,cat_1,0,0.1429774334526741,cat_6,45,cat_0,cat_2,cat_4,,1
3c5b6907053c6d,cat_3,45,,cat_3,0,cat_2,cat_0,cat_0,0,1
3d6e2f756c353e,cat_2,30,-2.10085105064148,cat_0,21,cat_0,cat_2,cat_0,,1
3dc0cb56f9da8d,cat_3,0,1.715304713559744,,0,cat_2,cat_0,cat_1,4,0
3de1c107094a88,cat_6,25,,cat_4,0,cat_2,cat_3,cat_2,,1
3e1322335d58f8,cat_0,9,-1.7457843871674006,cat_2,,cat_0,cat_1,cat_2,0,0
3e1e97f683e5f3,cat_6,28,-0.7818456432740528,cat_4,14,cat_1,cat_2,cat_2,2,1
3e821026eb437a,cat_3,20,,,28,cat_0,cat_3,cat_4,,1
3e85412aef943f,cat_3,0,-0.743501408991703,cat_4,0,cat_1,cat_2,cat_2,3,0
3efdbceac52e4f,cat_4,26,1.5383649710888703,,0,cat_2,cat_3,cat_4,3,1
3f191c2e1cf336,cat_6,53,,cat_4,0,cat_0,cat_3,cat_2,6,0
3f220e27685611,cat_5,0,0.0014377316464189716,cat_4,56,cat_1,cat_3,cat_2,4,0
3f5a418635410a,cat_2,28,,,63,cat_2,cat_1,cat_0,2,0
3fb2048bd09437,cat_0,0,0.7517897347105207,cat_3,23,cat_2,cat_2,cat_4,1,0
3fca32ea93e2a6,cat_5,30,,cat_4,,cat_1,cat_1,cat_3,,1
4006176bfff46d,cat_6,6,-0.07550260039450007,cat_7,,cat_0,cat_1,cat_1,4,1
406b8b9299532e,cat_0,0,-1.181567594570902,cat_3,108,cat_0,cat_3,cat_1,5,0
413733116fb270,cat_3,18,-1.1748271961219918,,,cat_1,cat_1,cat_2,1,0
41532d38c6e118,cat_0,,,,,cat_2,cat_2,cat_0,2,0
4158ab57d0acde,cat_5,0,-0.6469454963407422,cat_0,,cat_3,cat_3,cat_4,7,0
4181658e325a5a,cat_4,61,0.9055737251452667,,5,cat_0,cat_2,cat_0,0,0
4198a7268b809a,cat_0,0,,cat_2,0,cat_0,cat_0,cat_1,,0
41c063de488814,cat_3,19,1.6869849397786467,,0,cat_2,cat_0,cat_1,1,1
41dfcef25263ad,cat_6,0,1.1887071466763757,cat_3,,cat_2,cat_2,cat_1,3,0
421b8f5be30662,cat_5,0,-0.5554925201629812,cat_4,0,cat_0,cat_2,cat_2,3,0
425160fa27d69e,cat_0,22,,,0,cat_0,cat_3,cat_4,4,0
4292bb31bd559e,cat_5,29,-0.47249336960067073,cat_4,0,cat_0,cat_1,cat_2,4,0
43e4c46a5fd89c,cat_5,12,,cat_6,0,cat_2,cat_0,cat_1,,0
448fa076f16fac,cat_4,23,,,12,cat_0,cat_2,cat_4,6,1
44c04c88bcc87b,cat_5,23,0.43569307773460353,cat_7,30,cat_2,cat_2,cat_3,,1
45726085d31b92,cat_3,42,-0.7579922952156104,cat_5,35,cat_1,cat_1,cat_1,2,1
45a036f1b58357,cat_0,0,-2.428851603226427,,,cat_0,cat_2,cat_2,,1
